Cod_IBGE;Grande região;Município;Município;Mun_Total de casos;Mun_Total de óbitos;Estado;País
3510302;Interior;Capela do Alto;Capela do Alto, São Paulo, Brasil;1737;52;São Paulo;Brasil
3510401;Interior;Capivari;Capivari, São Paulo, Brasil;5966;188;São Paulo;Brasil
3510500;Interior;Caraguatatuba;Caraguatatuba, São Paulo, Brasil;37783;546;São Paulo;Brasil
3510609;RMSP (exceto capital);Carapicuíba;Carapicuíba, São Paulo, Brasil;42525;1288;São Paulo;Brasil
3510708;Interior;Cardoso;Cardoso, São Paulo, Brasil;3730;72;São Paulo;Brasil
3510807;Interior;Casa Branca;Casa Branca, São Paulo, Brasil;6558;134;São Paulo;Brasil
3510906;Interior;Cássia dos Coqueiros;Cássia dos Coqueiros, São Paulo, Brasil;258;4;São Paulo;Brasil
3511003;Interior;Castilho;Castilho, São Paulo, Brasil;4699;102;São Paulo;Brasil
3511102;Interior;Catanduva;Catanduva, São Paulo, Brasil;39299;740;São Paulo;Brasil
3511201;Interior;Catiguá;Catiguá, São Paulo, Brasil;928;43;São Paulo;Brasil
3511300;Interior;Cedral;Cedral, São Paulo, Brasil;3944;41;São Paulo;Brasil
3511409;Interior;Cerqueira César;Cerqueira César, São Paulo, Brasil;4211;64;São Paulo;Brasil
3511508;Interior;Cerquilho;Cerquilho, São Paulo, Brasil;15669;175;São Paulo;Brasil
3511607;Interior;Cesário Lange;Cesário Lange, São Paulo, Brasil;4650;87;São Paulo;Brasil
3511706;Interior;Charqueada;Charqueada, São Paulo, Brasil;4327;52;São Paulo;Brasil
3511904;Interior;Clementina;Clementina, São Paulo, Brasil;982;25;São Paulo;Brasil
3512001;Interior;Colina;Colina, São Paulo, Brasil;2614;73;São Paulo;Brasil
3512100;Interior;Colômbia;Colômbia, São Paulo, Brasil;1336;20;São Paulo;Brasil
3512209;Interior;Conchal;Conchal, São Paulo, Brasil;5178;96;São Paulo;Brasil
3512308;Interior;Conchas;Conchas, São Paulo, Brasil;3965;86;São Paulo;Brasil
3512407;Interior;Cordeirópolis;Cordeirópolis, São Paulo, Brasil;6045;117;São Paulo;Brasil
3512506;Interior;Coroados;Coroados, São Paulo, Brasil;1589;24;São Paulo;Brasil
3512605;Interior;Coronel Macedo;Coronel Macedo, São Paulo, Brasil;692;30;São Paulo;Brasil
3512704;Interior;Corumbataí;Corumbataí, São Paulo, Brasil;1077;9;São Paulo;Brasil
3512803;Interior;Cosmópolis;Cosmópolis, São Paulo, Brasil;8041;198;São Paulo;Brasil
3512902;Interior;Cosmorama;Cosmorama, São Paulo, Brasil;2268;48;São Paulo;Brasil
3513009;RMSP (exceto capital);Cotia;Cotia, São Paulo, Brasil;30383;817;São Paulo;Brasil
3513108;Interior;Cravinhos;Cravinhos, São Paulo, Brasil;2280;118;São Paulo;Brasil
