Cod_IBGE;Grande região;Município;Município;Mun_Total de casos;Mun_Total de óbitos;Estado;País
3549102;Interior;São João da Boa Vista;São João da Boa Vista, São Paulo, Brasil;25944;390;São Paulo;Brasil
3549201;Interior;São João das Duas Pontes;São João das Duas Pontes, São Paulo, Brasil;779;10;São Paulo;Brasil
3549250;Interior;São João de Iracema;São João de Iracema, São Paulo, Brasil;923;10;São Paulo;Brasil
3549300;Interior;São João do Pau d'Alho;São João do Pau d'Alho, São Paulo, Brasil;220;4;São Paulo;Brasil
3549409;Interior;São Joaquim da Barra;São Joaquim da Barra, São Paulo, Brasil;7453;182;São Paulo;Brasil
3549508;Interior;São José da Bela Vista;São José da Bela Vista, São Paulo, Brasil;338;23;São Paulo;Brasil
3549607;Interior;São José do Barreiro;São José do Barreiro, São Paulo, Brasil;763;9;São Paulo;Brasil
3549706;Interior;São José do Rio Pardo;São José do Rio Pardo, São Paulo, Brasil;8031;184;São Paulo;Brasil
3549805;Interior;São José do Rio Preto;São José do Rio Preto, São Paulo, Brasil;163822;3225;São Paulo;Brasil
3549904;Interior;São José dos Campos;São José dos Campos, São Paulo, Brasil;132873;2394;São Paulo;Brasil
3549953;RMSP (exceto capital);São Lourenço da Serra;São Lourenço da Serra, São Paulo, Brasil;711;42;São Paulo;Brasil
3550001;Interior;São Luiz do Paraitinga;São Luiz do Paraitinga, São Paulo, Brasil;975;37;São Paulo;Brasil
3550100;Interior;São Manuel;São Manuel, São Paulo, Brasil;6700;175;São Paulo;Brasil
3550209;Interior;São Miguel Arcanjo;São Miguel Arcanjo, São Paulo, Brasil;4827;91;São Paulo;Brasil
3550308;Capital;São Paulo;São Paulo, São Paulo, Brasil;1179377;44971;São Paulo;Brasil
3550407;Interior;São Pedro;São Pedro, São Paulo, Brasil;10721;126;São Paulo;Brasil
3550506;Interior;São Pedro do Turvo;São Pedro do Turvo, São Paulo, Brasil;1022;16;São Paulo;Brasil
3550605;Interior;São Roque;São Roque, São Paulo, Brasil;7213;137;São Paulo;Brasil
3550704;Interior;São Sebastião;São Sebastião, São Paulo, Brasil;8797;204;São Paulo;Brasil
3550803;Interior;São Sebastião da Grama;São Sebastião da Grama, São Paulo, Brasil;2771;39;São Paulo;Brasil
3550902;Interior;São Simão;São Simão, São Paulo, Brasil;1693;39;São Paulo;Brasil
3551009;Interior;São Vicente;São Vicente, São Paulo, Brasil;31457;1472;São Paulo;Brasil
3551108;Interior;Sarapuí;Sarapuí, São Paulo, Brasil;525;7;São Paulo;Brasil
3551207;Interior;Sarutaiá;Sarutaiá, São Paulo, Brasil;155;23;São Paulo;Brasil
3551306;Interior;Sebastianópolis do Sul;Sebastianópolis do Sul, São Paulo, Brasil;362;12;São Paulo;Brasil
3551405;Interior;Serra Azul;Serra Azul, São Paulo, Brasil;1474;21;São Paulo;Brasil
3551504;Interior;Serrana;Serra Negra, São Paulo, Brasil;11952;151;São Paulo;Brasil
3551603;Interior;Serra Negra;Serrana, São Paulo, Brasil;7051;102;São Paulo;Brasil
3551702;Interior;Sertãozinho;Sertãozinho, São Paulo, Brasil;20313;573;São Paulo;Brasil
3551801;Interior;Sete Barras;Sete Barras, São Paulo, Brasil;3028;48;São Paulo;Brasil
3551900;Interior;Severínia;Severínia, São Paulo, Brasil;2845;85;São Paulo;Brasil
3552007;Interior;Silveiras;Silveiras, São Paulo, Brasil;568;11;São Paulo;Brasil
3552106;Interior;Socorro;Socorro, São Paulo, Brasil;6600;116;São Paulo;Brasil
3552205;Interior;Sorocaba;Sorocaba, São Paulo, Brasil;112084;3249;São Paulo;Brasil
3552304;Interior;Sud Mennucci;Sud Mennucci, São Paulo, Brasil;967;24;São Paulo;Brasil
3552403;Interior;Sumaré;Sumaré, São Paulo, Brasil;41897;1007;São Paulo;Brasil
3552502;RMSP (exceto capital);Suzano;Suzanápolis, São Paulo, Brasil;29539;1055;São Paulo;Brasil
3552551;Interior;Suzanápolis;Suzano, São Paulo, Brasil;505;12;São Paulo;Brasil
3552601;Interior;Tabapuã;Tabapuã, São Paulo, Brasil;3398;75;São Paulo;Brasil
3552700;Interior;Tabatinga;Tabatinga, São Paulo, Brasil;3057;60;São Paulo;Brasil
3552809;RMSP (exceto capital);Taboão da Serra;Taboão da Serra, São Paulo, Brasil;19993;1054;São Paulo;Brasil
3552908;Interior;Taciba;Taciba, São Paulo, Brasil;864;27;São Paulo;Brasil
3553005;Interior;Taguaí;Taguaí, São Paulo, Brasil;3501;47;São Paulo;Brasil
3553104;Interior;Taiaçu;Taiaçu, São Paulo, Brasil;1469;19;São Paulo;Brasil
3553203;Interior;Taiúva;Taiúva, São Paulo, Brasil;1102;19;São Paulo;Brasil
3553302;Interior;Tambaú;Tambaú, São Paulo, Brasil;5458;63;São Paulo;Brasil
3553401;Interior;Tanabi;Tanabi, São Paulo, Brasil;7181;138;São Paulo;Brasil
3553500;Interior;Tapiraí;Tapiraí, São Paulo, Brasil;873;11;São Paulo;Brasil
3553609;Interior;Tapiratiba;Tapiratiba, São Paulo, Brasil;3098;43;São Paulo;Brasil
3553658;Interior;Taquaral;Taquaral, São Paulo, Brasil;403;13;São Paulo;Brasil
3553708;Interior;Taquaritinga;Taquaritinga, São Paulo, Brasil;14811;251;São Paulo;Brasil
3553807;Interior;Taquarituba;Taquarituba, São Paulo, Brasil;7355;121;São Paulo;Brasil
3553856;Interior;Taquarivaí;Taquarivaí, São Paulo, Brasil;1020;22;São Paulo;Brasil
3553906;Interior;Tarabai;Tarabai, São Paulo, Brasil;1016;36;São Paulo;Brasil
3553955;Interior;Tarumã;Tarumã, São Paulo, Brasil;1822;58;São Paulo;Brasil
3554003;Interior;Tatuí;Tatuí, São Paulo, Brasil;22217;535;São Paulo;Brasil
3554102;Interior;Taubaté;Taubaté, São Paulo, Brasil;38912;1199;São Paulo;Brasil
3554201;Interior;Tejupá;Tejupá, São Paulo, Brasil;432;13;São Paulo;Brasil
3554300;Interior;Teodoro Sampaio;Teodoro Sampaio, São Paulo, Brasil;4025;61;São Paulo;Brasil
3554409;Interior;Terra Roxa;Terra Roxa, São Paulo, Brasil;1394;40;São Paulo;Brasil
3554508;Interior;Tietê;Tietê, São Paulo, Brasil;8902;132;São Paulo;Brasil
3554607;Interior;Timburi;Timburi, São Paulo, Brasil;879;16;São Paulo;Brasil
3554656;Interior;Torre de Pedra;Torre de Pedra, São Paulo, Brasil;235;13;São Paulo;Brasil
3554706;Interior;Torrinha;Torrinha, São Paulo, Brasil;4006;27;São Paulo;Brasil
3554755;Interior;Trabiju;Trabiju, São Paulo, Brasil;459;5;São Paulo;Brasil
3554805;Interior;Tremembé;Tremembé, São Paulo, Brasil;2985;72;São Paulo;Brasil
3554904;Interior;Três Fronteiras;Três Fronteiras, São Paulo, Brasil;1963;39;São Paulo;Brasil
3554953;Interior;Tuiuti;Tuiuti, São Paulo, Brasil;1321;23;São Paulo;Brasil
3555000;Interior;Tupã;Tupã, São Paulo, Brasil;8244;340;São Paulo;Brasil
3555109;Interior;Tupi Paulista;Tupi Paulista, São Paulo, Brasil;4365;56;São Paulo;Brasil
3555208;Interior;Turiúba;Turiúba, São Paulo, Brasil;564;4;São Paulo;Brasil
3555307;Interior;Turmalina;Turmalina, São Paulo, Brasil;595;7;São Paulo;Brasil
3555356;Interior;Ubarana;Ubarana, São Paulo, Brasil;1730;24;São Paulo;Brasil
3555406;Interior;Ubatuba;Ubatuba, São Paulo, Brasil;12786;160;São Paulo;Brasil
3555505;Interior;Ubirajara;Ubirajara, São Paulo, Brasil;581;15;São Paulo;Brasil
3555604;Interior;Uchoa;Uchoa, São Paulo, Brasil;2099;44;São Paulo;Brasil
3555703;Interior;União Paulista;União Paulista, São Paulo, Brasil;319;7;São Paulo;Brasil
3555802;Interior;Urânia;Urânia, São Paulo, Brasil;3525;52;São Paulo;Brasil
3555901;Interior;Uru;Uru, São Paulo, Brasil;432;6;São Paulo;Brasil
3556008;Interior;Urupês;Urupês, São Paulo, Brasil;945;59;São Paulo;Brasil
3556107;Interior;Valentim Gentil;Valentim Gentil, São Paulo, Brasil;5069;79;São Paulo;Brasil
3556206;Interior;Valinhos;Valinhos, São Paulo, Brasil;25900;555;São Paulo;Brasil
3556305;Interior;Valparaíso;Valparaíso, São Paulo, Brasil;5486;91;São Paulo;Brasil
3556354;Interior;Vargem;Vargem, São Paulo, Brasil;651;27;São Paulo;Brasil
3556404;Interior;Vargem Grande do Sul;Vargem Grande do Sul, São Paulo, Brasil;6523;120;São Paulo;Brasil
3556453;RMSP (exceto capital);Vargem Grande Paulista;Vargem Grande Paulista, São Paulo, Brasil;7121;140;São Paulo;Brasil
3556503;Interior;Várzea Paulista;Várzea Paulista, São Paulo, Brasil;14937;314;São Paulo;Brasil
3556602;Interior;Vera Cruz;Vera Cruz, São Paulo, Brasil;724;50;São Paulo;Brasil
3556701;Interior;Vinhedo;Vinhedo, São Paulo, Brasil;18910;254;São Paulo;Brasil
3556800;Interior;Viradouro;Viradouro, São Paulo, Brasil;3650;110;São Paulo;Brasil
3556909;Interior;Vista Alegre do Alto;Vista Alegre do Alto, São Paulo, Brasil;1919;25;São Paulo;Brasil
3556958;Interior;Vitória Brasil;Vitória Brasil, São Paulo, Brasil;774;11;São Paulo;Brasil
3557006;Interior;Votorantim;Votorantim, São Paulo, Brasil;12598;577;São Paulo;Brasil
3557105;Interior;Votuporanga;Votuporanga, São Paulo, Brasil;33307;511;São Paulo;Brasil
3557154;Interior;Zacarias;Zacarias, São Paulo, Brasil;326;12;São Paulo;Brasil
3557204;Interior;Chavantes;;2794;62;São Paulo;Brasil
3557303;Interior;Estiva Gerbi;;1270;37;São Paulo;Brasil
;;Ignorado;;269;0;São Paulo;Brasil
